employee_id,name,salary_usd,bonus,years_at_company
1,Darnall Kose,317122,275268,34
2,Daisey Lindup,136484,486007,55
3,Hugibert Pinnell,329191,884062,7
4,Kristian Basilone,51137,873477,40
5,Hadleigh Dorricott,286316,744863,19
6,Nataline Jansson,89679,140543,37
7,Josepha Skelhorn,87952,251373,46
8,Belicia Bowcher,125380,899828,16
9,Doreen Glanville,313033,734263,12
10,Karmen Worms,395525,994462,51
11,Norene Neaves,336504,575795,14
12,Dulcy Trenouth,348690,667441,44
13,Philly Karlik,400509,393088,14
14,Bruno Smallbone,358997,993301,29
15,Mireielle Ickovicz,111963,959437,37
16,Earl Wrathmell,276107,673371,32
17,Garland Strode,441638,334493,34
18,Pavel Watsham,399576,331379,58
19,Shanta Ommundsen,324983,18558,20
20,Nelie Hovert,292064,468591,30
21,Jethro Tretwell,287080,779163,36
22,Agace Shower,307023,476861,35
23,Earlie Ferrar,269110,587407,60
24,Harley Soutter,411233,228364,42
25,Sydney Piborn,287186,992367,43
26,Brenn Hacquoil,178026,576205,23
27,Gwenni Tyrrell,345018,728689,30
28,Sidney Danslow,286989,911461,23
29,Celestine Gemmill,75320,465433,13
30,Jesse Hurst,365512,300032,0
31,Rubie MacLucais,82499,755276,43
32,Arda MacRinn,415381,622423,60
33,Abey Clinning,307619,862288,6
34,Clarke Neilands,290587,715970,13
35,Inessa Tretter,62708,244874,56
36,Nichol Dawton,130527,109820,33
37,Tonye Bahl,274566,463188,58
38,Sibyl Hannent,120444,430980,17
39,Cathi Schruyers,325025,197794,40
40,Isobel Batchelor,489821,275082,15
41,Nobie Perris,332799,679076,10
42,Abe Biffen,316245,786268,50
43,Frannie Corselles,336264,902059,4
44,Loydie Yakhin,490062,728256,16
45,Thain Le Leu,430621,470412,29
46,Lola Garza,320576,566106,46
47,Jilli Shambrooke,91106,39751,9
48,Hettie Choupin,367665,277363,53
49,Kippy Nightingale,368699,174287,40
50,Helsa Adenot,333672,354266,47
51,Mattie Bartrum,57839,88989,0
52,Torrance Greathead,315524,209433,5
53,Jo-ann Althrop,308699,276024,4
54,Erinna Unthank,281447,800822,56
55,Wynn Janku,169155,989046,32
56,Clarette Steffans,181479,902669,54
57,Dianemarie Kehri,221720,643040,54
58,Louie M'Chirrie,274994,497496,28
59,Chandra Windless,374030,790137,15
60,Sim Salvage,236169,273271,6
61,Eugene Earley,265062,909336,39
62,Giraldo Hatherleigh,195074,836801,42
63,Keefe Foord,312145,489238,13
64,Thain Sywell,493046,912207,30
65,Maxine Perin,174643,45041,11
66,Nelly Duchateau,217127,656911,55
67,Rich Allmann,380833,770935,36
68,Sidonia Markovic,447881,59467,48
69,Malia Langmuir,73330,160348,41
70,Leroi Parkman,414377,145578,3
71,Edik Churchard,74626,794036,36
72,Joaquin Gourlay,391790,77193,40
73,Rossy Booy,469849,199148,22
74,Hale Guterson,294671,228049,53
75,Rance Birkby,154127,958459,19
76,Corny Doerr,173207,456263,8
77,Loria Pucknell,219410,553066,23
78,Oriana Dufer,473704,405649,2
79,Emelita Ellacott,234081,107986,26
80,Goober Manser,348160,15444,3
81,Querida Gadsden,168189,843180,1
82,Penny Dumphreys,272148,884785,8
83,Godfree Davidovits,344221,831352,13
84,Kylie Bruckstein,209216,930555,54
85,Zuzana Erridge,230195,19173,33
86,Grantham Mateiko,274989,666534,23
87,Demetra Surgood,373615,727442,27
88,Livvyy Heisham,468190,355227,37
89,Tobiah Nelthropp,480348,381609,33
90,Grange Durnall,191210,901824,16
91,Zsazsa Vockings,76108,475585,41
92,Irv Spearing,409077,597789,31
93,Valentino Saenz,213957,841468,38
94,Raffaello Summons,173035,836601,50
95,Ivy de Leon,331883,106137,36
96,Timmy Moakes,253523,62206,20
97,Corrina Justham,164465,420021,39
98,Boone Dacke,334591,961666,39
99,Mary Musso,298866,239167,31
100,Nels Fowles,397102,554296,41
